[ 2017-04-01T09:34:08+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-04-01T09:34:08+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-04-01T09:34:08+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-04-01T09:34:08+08:00 ] / | SQL: SHOW COLUMNS FROM `questionnaire_collect` [ RunTime:0.003000s ]
[ 2017-04-01T09:34:08+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-04-01T09:34:08+08:00 ] / | SQL: SELECT * FROM `questionnaire_collect` WHERE ( `memberid` = 10 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2017-04-01T09:34:15+08:00 ] /index.php/index/index | ERR: (ThinkException) 无法加载模块index
[ 2017-04-01T09:34:19+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T09:34:19+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-04-01T09:34:19+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2017-04-01T09:34:19+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-04-01T09:34:19+08:00 ] / | SQL: SHOW COLUMNS FROM `questionnaire_collect` [ RunTime:0.002000s ]
[ 2017-04-01T09:34:19+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-04-01T09:34:19+08:00 ] / | SQL: SELECT * FROM `questionnaire_collect` WHERE ( `memberid` = 10 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2017-04-01T09:35:20+08:00 ] /index/test/id/1 | ERR: (ThinkException) 无法加载模块index
[ 2017-04-01T09:35:41+08:00 ] /index.php/index/index | ERR: (ThinkException) 无法加载模块index
[ 2017-04-01T09:35:44+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T09:35:44+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-04-01T09:35:44+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-04-01T09:35:44+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-04-01T09:35:44+08:00 ] / | SQL: SHOW COLUMNS FROM `questionnaire_collect` [ RunTime:0.005001s ]
[ 2017-04-01T09:35:44+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-04-01T09:35:44+08:00 ] / | SQL: SELECT * FROM `questionnaire_collect` WHERE ( `memberid` = 10 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2017-04-01T09:37:04+08:00 ] / | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2017-04-01T09:37:44+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T09:37:44+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-04-01T09:37:44+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-04-01T09:37:44+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-04-01T09:37:44+08:00 ] / | SQL: SHOW COLUMNS FROM `questionnaire_collect` [ RunTime:0.003000s ]
[ 2017-04-01T09:37:44+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-04-01T09:37:44+08:00 ] / | SQL: SELECT * FROM `questionnaire_collect` WHERE ( `memberid` = 10 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2017-04-01T09:42:32+08:00 ] /system/getData | ERR: (ThinkException) 无法加载模块system
[ 2017-04-01T09:42:36+08:00 ] /system/index | ERR: (ThinkException) 无法加载模块system
[ 2017-04-01T09:44:19+08:00 ] /system/index | ERR: (ThinkException) 无法加载模块system
[ 2017-04-01T09:53:03+08:00 ] /system/index | ERR: (ThinkException) 无法加载模块system
[ 2017-04-01T09:53:04+08:00 ] /system/index | ERR: (ThinkException) 无法加载模块system
[ 2017-04-01T09:53:04+08:00 ] /system/index | ERR: (ThinkException) 无法加载模块system
[ 2017-04-01T09:53:04+08:00 ] /system/index | ERR: (ThinkException) 无法加载模块system
[ 2017-04-01T09:54:56+08:00 ] /system/index | ERR: (ThinkException) 无法加载模块system
[ 2017-04-01T09:55:03+08:00 ] /system/index | ERR: (ThinkException) 无法加载模块system
[ 2017-04-01T09:55:55+08:00 ] /system/index | ERR: (ThinkException) 无法加载模块system
